Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17628293,Android Hacker's Handbook,Joshua J. Drake,"Drake, Joshua J.","Zach Lanier, Collin Mulliner, Pau Oliva Fora, Stephen A. Ridley, Georg Wicherski","=""111860864X""","=""9781118608647""",3,3.98,Wiley,Paperback,545,2014,2013,,2018/04/27,,,read,,,,1,,,0,,,,,
3004460,The IDA Pro Book: The Unofficial Guide to the World's Most Popular Disassembler,Chris Eagle,"Eagle, Chris",,"=""1593271786""","=""9781593271787""",5,4.33,No Starch Press,Paperback,640,2008,2008,,2018/04/27,,,read,,,,1,,,0,,,,,
6478938,In Asia,Tiziano Terzani,"Terzani, Tiziano",,"=""8850206178""","=""9788850206179""",5,4.23,TEA,Paperback,434,2004,1998,,2018/04/27,,,read,,,,1,,,0,,,,,
30420524,The Cellular Automaton Interpretation of Quantum Mechanics,Gerard 't Hooft,"Hooft, Gerard 't",,"=""3319412841""","=""9783319412849""",0,4.22,Springer,Hardcover,298,2016,,,2018/04/27,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
99245,Nightfall,Isaac Asimov,"Asimov, Isaac",Robert Silverberg,"=""0553290991""","=""9780553290998""",0,4.03,Bantam Books,Paperback,339,2012,1990,,2018/04/27,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
11976774,Who's in Charge? Free Will and the Science of the Brain,Michael S. Gazzaniga,"Gazzaniga, Michael S.",,"=""0061906107""","=""9780061906107""",0,3.97,Ecco,Hardcover,260,2011,2011,,2018/04/27,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
40445,"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan,"Morgan, Richard K.",,"=""0345457692""","=""9780345457691""",0,4.06,Del Rey Books,Mass Market Paperback,526,2006,2002,,2018/04/27,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
36407347,"The Future of Humanity: Terraforming Mars, Interstellar Travel, Immortality, and Our Destiny Beyond Earth",Michio Kaku,"Kaku, Michio",,"=""0241304849""","=""9780241304846""",0,4.14,Allen Lane,Hardcover,368,2018,2018,,2018/04/28,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",0,4.30,TOR,Mass Market Paperback,324,1994,1985,,2018/04/28,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
10157578,Il cervello anarchico,Enzo Soresi,"Soresi, Enzo",,"=""8802071667""","=""9788802071664""",0,3.60,UTET libreria,Paperback,213,2005,2005,,2018/04/30,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
31625636,We Have No Idea: A Guide to the Unknown Universe,Jorge Cham,"Cham, Jorge",Daniel Whiteson,"=""0735211515""","=""9780735211513""",0,4.26,Riverhead Books,Hardcover,368,2017,2017,,2018/05/01,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
35167718,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard Feynman,"Feynman, Richard",Ralph Leighton,"=""0393355640""","=""9780393355642""",0,4.27,W. W. Norton  Company,Paperback,288,2018,1988,,2018/05/01,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
10260,The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman,Richard Feynman,"Feynman, Richard","Jeffrey Robbins, Freeman Dyson","=""0465023959""","=""9780465023950""",0,4.24,Basic Books,Paperback,270,2005,1999,,2018/05/01,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
17375,The Meaning of It All: Thoughts of a Citizen-Scientist,Richard Feynman,"Feynman, Richard",,"=""0465023940""","=""9780465023943""",0,4.05,Basic Books,Paperback,144,2005,1998,,2018/05/01,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
291920,The Character of Physical Law,Richard Feynman,"Feynman, Richard",James Gleick,"=""0679601279""","=""9780679601272""",0,4.29,Modern Library,Hardcover,192,1994,1964,,2018/05/01,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
5550,Perfectly Reasonable Deviations from the Beaten Track: Letters of Richard P. Feynman,Richard Feynman,"Feynman, Richard",Michelle Feynman,"=""0738206369""","=""9780738206363""",0,4.24,Basic Books,cloth,512,2005,2004,,2018/05/01,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
61666,Contact,Carl Sagan,"Sagan, Carl",,"=""2266079999""","=""9782266079990""",0,4.13,Pocket,Mass Market Paperback,580,1997,1985,,2018/05/01,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
55030,Cosmos,Carl Sagan,"Sagan, Carl",,"=""0375508325""","=""9780375508325""",0,4.36,Random House,Mass Market Paperback,384,2002,1980,,2018/05/01,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
496695,Geek Mafia,Rick Dakan,"Dakan, Rick",,"=""0977264904""","=""9780977264902""",0,3.62,Blue King Studios,Paperback,320,2006,2006,,2018/05/01,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
1638947,Higher Math For Beginners: Mostly Physicists And Engineers,Yakov B. Zel'dovich,"Zel'dovich, Yakov B.",,"=""0133876489""","=""9780133876482""",5,4.56,,,,,,,2018/04/27,,,read,,,,1,,,0,,,,,
41821,The Gods Themselves,Isaac Asimov,"Asimov, Isaac",,"=""1857989341""","=""9781857989342""",5,4.09,Millenium,Paperback,288,2000,1972,,2018/04/27,,,read,,,,1,,,0,,,,,
30016,The Naked Sun (Robot #2),Isaac Asimov,"Asimov, Isaac",,"=""0586010165""","=""9780586010167""",5,4.14,HarperCollins Publishers,Mass Market Paperback,208,1996,1956,,2018/04/27,,,read,,,,1,,,0,,,,,
83539,Fantastic Voyage,Isaac Asimov,"Asimov, Isaac",,"=""0553275720""","=""9780553275728""",5,3.90,Bantam,Paperback,208,1988,1966,,2018/04/27,,,read,,,,1,,,0,,,,,
41820,Pebble in the Sky (Galactic Empire #3),Isaac Asimov,"Asimov, Isaac",,"=""0553293427""","=""9780553293425""",5,3.87,Bantam,Paperback,308,1991,1950,,2018/04/27,,,read,,,,1,,,0,,,,,
41822,"The Stars, Like Dust (Galactic Empire, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553293435""","=""9780553293432""",5,3.73,Spectra,Mass Market Paperback,304,1991,1951,,2018/04/27,,,read,,,,1,,,0,,,,,
302625,Nemesis,Isaac Asimov,"Asimov, Isaac",,"=""0553286285""","=""9780553286281""",5,3.76,Bantam/Spectra,Mass Market Paperback,386,1990,1989,,2018/04/27,,,read,,,,1,,,0,,,,,
85434,The Currents of Space (Galactic Empire #2),Isaac Asimov,"Asimov, Isaac",,"=""0553293419""","=""9780553293418""",5,3.83,Spectra,Paperback,304,1991,1952,,2018/04/27,,,read,,,,1,,,0,,,,,
70787,The Bicentennial Man and Other Stories,Isaac Asimov,"Asimov, Isaac",,"=""1857989325""","=""9781857989328""",5,4.08,Millennium,Paperback,211,2000,1976,,2018/04/27,,,read,,,,1,,,0,,,,,
41818,Robot Dreams (Robot #0.4),Isaac Asimov,"Asimov, Isaac",,"=""0441011837""","=""9780441011834""",5,4.14,Ace Trade,Paperback,352,2004,1986,,2018/04/27,,,read,,,,1,,,0,,,,,
41823,Robot Visions,Isaac Asimov,"Asimov, Isaac",Ralph McQuarrie,"=""0451450647""","=""9780451450647""",5,4.21,RoC,Mass Market Paperback,496,1991,1990,,2018/04/27,,,read,,,,1,,,0,,,,,
30010,"The Complete Stories, Vol 1",Isaac Asimov,"Asimov, Isaac",,"=""038541627X""","=""9780385416276""",5,4.36,Broadway,Paperback,624,1990,1990,,2018/04/27,,,read,,,,1,,,0,,,,,
272773,The Rest of the Robots (Robot #0.2),Isaac Asimov,"Asimov, Isaac",,"=""0586025944""","=""9780586025949""",5,4.08,Granada Publishing in Panther books,Mass Market Paperback,224,1968,1964,,2018/04/27,,,read,,,,1,,,0,,,,,
9432902,Flashback,Dan Simmons,"Simmons, Dan",,"=""0316006963""","=""9780316006965""",4,3.26,Reagan Arthur Books,Hardcover,554,2011,2011,,2018/04/27,,,read,,,,1,,,0,,,,,
154091,"Mona Lisa Overdrive (Sprawl, #3)",William Gibson,"Gibson, William",,"=""0553281747""","=""9780553281743""",5,3.98,Bantam Spectra,Mass Market Paperback,308,1989,1988,,2018/04/27,,,read,,,,1,,,0,,,,,
313998,Johnny Mnemonic,William Gibson,"Gibson, William",Terry Bisson,"=""000224618X""","=""9780002246187""",5,3.76,HarperCollins,Hardcover,160,1996,1981,,2018/04/27,,,read,,,,1,,,0,,,,,
4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,"Foer, Jonathan Safran",,"=""0618711651""","=""9780618711659""",2,3.98,Mariner Books,Paperback,326,2006,2005,,2018/04/27,,,read,,,,1,,,0,,,,,
10561885,"Solido, liquido o gassoso?",Domenica Luciani,"Luciani, Domenica",,"=""8809211030""","=""9788809211032""",5,3.83,Giunti Junior,Paperback,157,1999,1999,,2018/04/28,,,read,,,,1,,,0,,,,,
9708329,Nascita Di Un Guru,Takeshi Kitano,"Kitano, Takeshi",L. Brambilla,"=""8804557028""","=""9788804557029""",2,2.84,Mondadori,Paperback,200,2006,1990,,2018/04/28,,,read,,,,1,,,0,,,,,
836555,Crypto ,Dan Brown,"Brown, Dan",Paola Frezza Pavese,"=""880455987X""","=""9788804559870""",4,3.63,Mondadori,Hardcover,427,2006,1998,,2018/04/28,,,read,,,,1,,,0,,,,,
6527580,"La biblioteca dei morti (Will Piper, #1)",Glenn Cooper,"Cooper, Glenn",Gian Paolo Gasperi,"=""8842916064""","=""9788842916062""",4,3.75,Editrice Nord,Hardcover,439,2009,2009,,2018/04/28,,,read,,,,1,,,0,,,,,
9710374,L'arte dell'inganno: I consigli dell'hacker più famoso del mondo,Kevin D. Mitnick,"Mitnick, Kevin D.","William L. Simon, Giancarlo Carlotti, Roul Chiesa","=""8807818418""","=""9788807818417""",1,3.76,Feltrinelli,Paperback,324,2005,2001,,2018/04/28,,,read,,,,1,,,0,,,,,
830502,It,Stephen King,"King, Stephen",,"=""0450411435""","=""9780450411434""",4,4.23,New English Library,Paperback,1116,1987,1986,,2018/04/28,,,read,,,,1,,,0,,,,,
17164592,"Il primo bicchiere, come sempre, è il migliore",Charles Bukowski,"Bukowski, Charles",Damiano Abeni,"=""8875210802""","=""9788875210809""",4,3.67,Minimum Fax,Paperback,225,2006,,,2018/04/28,,,read,,,,1,,,0,,,,,
3407979,Il silenzio degli innocenti,Thomas   Harris,"Harris, Thomas",Roberta Rambelli,"=""880433374X""","=""9788804333746""",5,4.17,Mondadori,Paperback,383,1991,1988,,2018/04/28,,,read,,,,1,,,0,,,,,
1855674,... E venne chiamata due cuori,Marlo Morgan,"Morgan, Marlo",Maria Barbara Piccioli,"=""8845407039""","=""9788845407031""",4,3.78,Sonzogno,Paperback,219,1994,1990,,2018/04/28,,,read,,,,1,,,0,,,,,
18215286,"Spazio, tempo e universo. Passato, presente e futuro della teoria della relatività",Tullio Regge,"Regge, Tullio",Giulio Peruzzi,"=""8877508248""","=""9788877508249""",3,2.67,UTET libreria,Paperback,158,2003,2003,,2018/04/28,,,read,,,,1,,,0,,,,,
277950,Hagakure: The Book of the Samurai,Yamamoto Tsunetomo,"Tsunetomo, Yamamoto",William Scott Wilson,"=""4770029160""","=""9784770029164""",4,4.07,Kodansha,Hardcover,179,2002,1716,,2018/04/26,,,read,,,,1,,,0,,,,,
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""1590302257""","=""9781590302255""",5,3.97,Shambhala,Paperback,273,2005,-500,,2018/04/27,,,read,,,,1,,,0,,,,,
863239,The Unfettered Mind: Writings of the Zen Master to the Sword Master,Takuan Soho,"Soho, Takuan",William Scott Wilson,"=""087011851X""","=""9780870118517""",3,4.13,Kodansha,Paperback,101,1988,1986,,2018/04/27,,,read,,,,1,,,0,,,,,
51893,Thus Spoke Zarathustra,Friedrich Nietzsche,"Nietzsche, Friedrich",Walter Kaufmann,"=""0140047484""","=""9780140047486""",5,4.06,Penguin Books,Paperback,327,1978,1883,,2018/04/27,,,read,,,,1,,,0,,,,,
3400697,101 storie Zen,Nyogen Senzaki,"Senzaki, Nyogen","Paul Reps, Adriana Motti","=""8845901602""","=""9788845901607""",5,3.88,Adelphi,Paperback,107,1973,1919,,2018/04/28,,,read,,,,1,,,0,,,,,
